Horodate;
01.01. 00:00;3564
01.01. 00:15;3564
01.01. 00:30;3564
01.01. 00:45;3564
01.01. 01:00;3564
01.01. 01:15;3564
01.01. 01:30;3564
01.01. 01:45;3564
01.01. 02:00;3172
01.01. 02:15;3172
01.01. 02:30;3172
01.01. 02:45;3172
01.01. 03:00;2850
01.01. 03:15;2850
01.01. 03:30;2850
01.01. 03:45;2850
01.01. 04:00;2758
01.01. 04:15;2758
01.01. 04:30;2758
01.01. 04:45;2758
01.01. 05:00;2821
01.01. 05:15;2821
01.01. 05:30;2821
01.01. 05:45;2821
01.01. 06:00;2902
01.01. 06:15;2902
01.01. 06:30;2902
01.01. 06:45;2902
01.01. 07:00;3097
01.01. 07:15;3097
01.01. 07:30;3097
01.01. 07:45;3097
01.01. 08:00;3887
01.01. 08:15;3887
01.01. 08:30;3887
01.01. 08:45;3887
01.01. 09:00;5160
01.01. 09:15;5160
01.01. 09:30;5160
01.01. 09:45;5160
01.01. 10:00;6192
01.01. 10:15;6192
01.01. 10:30;6192
01.01. 10:45;6192
01.01. 11:00;6920
01.01. 11:15;6920
01.01. 11:30;6920
01.01. 11:45;6920
01.01. 12:00;7278
01.01. 12:15;7278
01.01. 12:30;7278
01.01. 12:45;7278
01.01. 13:00;6791
01.01. 13:15;6791
01.01. 13:30;6791
01.01. 13:45;6791
01.01. 14:00;6062
01.01. 14:15;6062
01.01. 14:30;6062
01.01. 14:45;6062
01.01. 15:00;5512
01.01. 15:15;5512
01.01. 15:30;5512
01.01. 15:45;5512
01.01. 16:00;5158
01.01. 16:15;5158
01.01. 16:30;5158
01.01. 16:45;5158
01.01. 17:00;5406
01.01. 17:15;5406
01.01. 17:30;5406
01.01. 17:45;5406
01.01. 18:00;6270
01.01. 18:15;6270
01.01. 18:30;6270
01.01. 18:45;6270
01.01. 19:00;7179
01.01. 19:15;7179
01.01. 19:30;7179
01.01. 19:45;7179
01.01. 20:00;7448
01.01. 20:15;7448
01.01. 20:30;7448
01.01. 20:45;7448
01.01. 21:00;7104
